Nombre,Rareza,Costo
Noobini Pizzanini,Common,1
Noobini Pizzanini,Common,1
Frulli Frulla,Common,5
Frulli Frulla,Common,5
Meme Cat,Common,10
Meme Cat,Common,10
Cappuchino Assasino,Epic,15
Cappuchino Assasino,Epic,15
Nyan Hacker,Common,15
Nyan Hacker,Common,15
Cappuchino Assasino,Epic,23
Sigma Kid,Rare,25
Sigma Kid,Rare,25
Bri Bri Bicus Dicus,Epic,30
Bri Bri Bicus Dicus,Epic,30
MeWing Guy,Rare,30
MeWing Guy,Rare,30
Chimpanzini Bananini,Legendary,50
Chimpanzini Bananini,Legendary,50
Six-Seven Kid,Legendary,50
Six-Seven Kid,Legendary,50
Skibidi Agent,Epic,55
Skibidi Agent,Epic,55
Ballerina Cappuchina,Legendary,70
Ballerina Cappuchina,Legendary,70
Gyatt Lord,Epic,70
Gyatt Lord,Epic,70
Tralelero Tralala,BrainrotGod,75
Tralelero Tralala,BrainrotGod,75
Rizz Master,Legendary,120
Rizz Master,Legendary,120
Ohio Final Boss,Legendary,150
Ohio Final Boss,Legendary,150
Brainrot Prophet,BrainrotGod,400
Brainrot Prophet,BrainrotGod,400
Orcalero Orcala,BrainrotGod,400
Orcalero Orcala,BrainrotGod,400
Orcalero Orcala,BrainrotGod,400
Glitch Entity,Secret,800
Glitch Entity,Secret,800
